category,record_index,point_count,hmin,hmax,haverage,vmin,vmax,vaverage,hrange,vrange
plane,27,100,273.345,398.295,309.797,34.0512,53.3129,44.0463,124.95,19.2617
plane,28,100,279.855,410.376,320.225,25.6183,44.5809,35.1183,130.522,18.9626
plane,29,100,285.825,417.73,330.626,26.641,46.3038,36.4488,131.905,19.6628
plane,30,100,298.622,426.035,340.636,27.5925,47.7808,38.0522,127.413,20.1883
plane,31,100,311.551,437.818,350.447,30.3413,48.3807,39.3972,126.268,18.0394
plane,32,100,321.076,448.667,359.991,31.0532,50.275,41.006,127.591,19.2218
plane,33,100,218.38,346.327,259.878,32.5954,52.7152,42.3984,127.947,20.1198
plane,34,100,231.532,354.628,269.723,34.0734,53.793,44.0053,123.096,19.7195
plane,35,100,242.139,367.277,280.387,25.4122,44.6258,34.8433,125.138,19.2136
plane,36,100,246.449,376.241,290.571,27.3978,45.1378,36.3967,129.791,17.7401
plane,37,100,260.241,387.701,300.495,29.3522,48.1227,37.9659,127.459,18.7704
plane,38,100,272.512,402.643,310.837,29.0707,49.1991,39.4962,130.13,20.1284
plane,39,100,279.318,411.156,319.588,31.0285,50.2226,40.8602,131.837,19.1941
plane,40,100,290.522,414.432,329.729,32.7798,51.9761,42.5159,123.91,19.1963
plane,41,100,300.575,425.286,340.348,34.9897,53.449,44.1176,124.711,18.4593
plane,42,100,309.738,437.389,350.425,25.0217,44.3533,34.9052,127.651,19.3316
plane,43,100,319.951,448.321,359.815,26.8868,46.7563,36.6387,128.37,19.8694
plane,44,100,221.078,343.262,259.708,27.4331,47.7987,38.0441,122.183,20.3656
plane,45,100,229.526,356.086,270.327,30.43,48.5105,39.5312,126.559,18.0804
plane,46,100,239.184,364.19,280.191,31.9165,51.8701,41.013,125.007,19.9535
plane,47,100,248.991,380.489,290.258,33.0098,52.575,42.5044,131.498,19.5652
plane,48,100,257.167,388.907,300.468,34.38,53.7824,43.8744,131.74,19.4024
plane,49,100,268.015,396.55,310.353,25.1115,44.9709,34.8706,128.535,19.8594
plane,50,100,279.642,407.362,320.626,27.3098,44.9535,36.6922,127.719,17.6437
plane,51,100,289.052,420.041,330.437,28.0866,48.0214,37.8812,130.989,19.9347
plane,52,100,297.568,430.068,340.444,31.2076,49.0196,39.4816,132.5,17.812
plane,53,100,312.991,440.359,349.985,31.255,49.6584,40.9791,127.368,18.4034
plane,54,100,323.133,450.392,360.363,33.2727,52.1659,42.4996,127.259,18.8932
plane,55,100,218.943,355.943,260.818,34.4581,52.6206,43.9103,137,18.1625
plane,56,100,227.084,354.749,270.484,25.9622,44.7924,34.9923,127.665,18.8302
plane,57,100,240.636,364.686,281.081,26.9542,46.0546,36.3804,124.05,19.1004
plane,58,100,251.293,381.887,290.484,28.973,46.6852,37.9281,130.594,17.7122
plane,59,100,262.686,389.589,300.316,30.204,48.4595,39.5334,126.903,18.2555
plane,60,100,272.62,396.022,309.587,30.3472,49.8898,40.9024,123.402,19.5426
plane,61,100,279.16,409.39,320.695,33.5397,52.6253,42.6054,130.23,19.0857
plane,62,100,290.699,418.457,331.169,34.1481,52.951,43.9257,127.758,18.8029
plane,63,100,301.352,427.682,340.24,25.5773,44.2164,35.2166,126.33,18.6391
plane,64,100,309.614,435.971,350.769,27.2427,45.9428,36.5036,126.357,18.7001
plane,65,100,317.322,451.772,359.223,28.1325,47.1714,37.9038,134.449,19.0389
plane,66,100,219.497,348.358,260.606,28.3354,49.0227,39.3834,128.862,20.6873
plane,67,100,228.015,357.804,270.408,31.1499,50.6402,40.8405,129.789,19.4903
plane,68,100,240.589,369.296,280.464,32.9203,51.8313,42.5906,128.707,18.911
plane,69,100,253.751,378.59,290.503,35.2489,54.9866,44.0693,124.838,19.7377
plane,70,100,262.087,394.808,299.991,25.7103,44.9449,35.3016,132.721,19.2346
plane,71,100,273.217,397.744,310.638,26.5041,46.7064,36.4767,124.528,20.2023
plane,72,100,278.494,411.047,319.435,28.4688,47.8867,38.0925,132.554,19.4178
plane,73,100,288.762,417.53,330.25,29.3458,48.7392,39.4939,128.768,19.3933
plane,74,100,300.51,427.477,339.967,30.8561,50.6605,40.8945,126.967,19.8044
plane,75,100,310.109,436.914,350.087,32.8619,51.8929,42.6267,126.805,19.031
plane,76,100,320.79,447.13,360.321,34.9258,53.397,44.0421,126.34,18.4712
plane,77,100,220.642,349.942,260.511,24.6478,45.3818,34.9856,129.299,20.734
plane,78,100,230.422,353.581,269.041,27.1389,45.5458,36.5812,123.159,18.4068
plane,79,100,239.292,365.058,280.253,28.8238,48.9495,38.1136,125.766,20.1257
plane,80,100,250.893,375.305,289.723,30.6681,49.9465,39.6553,124.413,19.2784
plane,81,100,260.055,388.609,300.676,31.4262,50.4266,40.8033,128.554,19.0004
plane,82,100,263.876,393.981,310.123,33.0301,51.9104,42.6733,130.105,18.8803
plane,83,100,276.638,409.59,320.298,34.2408,54.233,44.0365,132.952,19.9922
plane,84,100,287.248,420.659,330.59,25.3117,45.4967,35.0625,133.411,20.185
plane,85,100,297.471,428.888,340.272,27.5163,46.0778,36.6342,131.417,18.5616
plane,86,100,313.532,436.617,350.351,29.2946,47.3989,38.0519,123.085,18.1042
plane,87,100,318.299,448.426,359.955,30.6957,49.3326,39.5266,130.126,18.6369
plane,88,100,217.047,348.24,259.698,30.8587,51.1202,41.049,131.193,20.2615
plane,89,100,230.438,356.88,270.486,32.5812,51.2638,42.3965,126.442,18.6826
plane,90,100,239.877,372.674,280.819,34.2851,53.8825,44.0625,132.798,19.5974
plane,91,100,249.404,374.05,289.905,25.2856,45.1634,34.9596,124.646,19.8778
plane,92,100,256.704,386.796,300.501,27.4018,46.4694,36.402,130.092,19.0677
plane,93,100,269.699,395.381,310.158,28.9808,47.5807,37.9371,125.682,18.5998
plane,94,100,280.533,408.555,319.918,30.6353,49.0491,39.5065,128.022,18.4138
plane,95,100,289.892,420.805,329.854,31.879,50.1709,41.0731,130.913,18.2919
plane,96,100,298.264,422.364,340.07,33.7889,52.9908,42.7076,124.1,19.2019
plane,97,100,311.657,432.682,350.113,33.2721,52.884,43.9077,121.025,19.6119
plane,98,100,316.678,448.291,360.058,24.699,44.6348,34.8509,131.613,19.9358
plane,99,100,219.988,347.834,259.513,26.1634,45.1758,36.3453,127.846,19.0124
plane,100,100,228.515,357.545,270.361,29.5759,47.2572,38.1358,129.03,17.6813
plane,101,100,239.969,368.78,280.238,30.4654,49.2337,39.3986,128.811,18.7683
plane,102,100,254.372,377.245,291.282,31.8619,50.318,40.932,122.873,18.4561
plane,103,100,260.357,385.588,299.52,33.4958,52.4877,42.6371,125.231,18.9919
plane,104,100,264.056,392.857,310.639,35.2744,54.0126,44.0875,128.801,18.7382
plane,105,100,280.565,406.5,320.286,25.1168,43.7004,35.1915,125.935,18.5837
plane,106,100,288.188,418.56,330.626,27.2584,45.2192,36.4919,130.372,17.9608
plane,107,100,302.667,427.509,341.003,28.5944,47.8289,37.9305,124.842,19.2345
plane,108,100,308.635,438.457,350.185,30.3436,48.7468,39.479,129.822,18.4033
plane,109,100,322.878,446.067,360.287,31.3101,49.4773,40.7302,123.189,18.1672
plane,110,100,218.098,350.112,260.48,32.88,52.2802,42.5869,132.014,19.4002
plane,111,100,230.213,359.442,270.835,34.8492,54.4004,44.1695,129.23,19.5512
plane,112,100,239.921,370.845,280.44,25.4066,44.1065,34.9612,130.924,18.6999
plane,113,100,248.314,378.495,290.512,26.293,46.1548,36.6605,130.18,19.8618
plane,114,100,262.624,388.037,301.08,28.7632,47.3994,38.0121,125.413,18.6362
plane,115,100,270.931,402.191,310.704,29.427,48.9403,39.5058,131.26,19.5132
plane,116,100,279.844,405.482,320.597,32.2398,50.9803,41.1085,125.638,18.7405
plane,117,100,290.445,410.837,329.863,33.0894,51.7854,42.4826,120.392,18.696
plane,118,100,300.334,426.029,340.685,34.059,53.4874,44.0212,125.695,19.4283
plane,119,100,313.33,444.55,350.642,25.8799,44.0214,35.0119,131.22,18.1416
plane,120,100,319.316,445.613,360.447,27.2459,45.1946,36.5647,126.297,17.9486
plane,121,100,219.161,345.863,260.119,28.1218,47.5641,37.9226,126.703,19.4423
plane,122,100,231.204,357.115,269.667,30.8163,49.3202,39.54,125.91,18.5039
plane,123,100,237.309,369.528,279.888,31.6728,50.2726,40.9934,132.22,18.5998
plane,124,100,246.563,379.06,290.721,32.6817,52.6375,42.5276,132.498,19.9557
plane,125,100,259.045,390.233,300.495,34.5673,54.0648,44.0372,131.188,19.4976
plane,126,100,265.709,400.936,310.001,25.2749,44.8212,34.9464,135.227,19.5464
plane,127,100,277.174,405.888,320.196,27.478,45.8727,36.383,128.714,18.3947
plane,128,100,289.549,420.528,330.264,28.7104,47.1596,37.9528,130.979,18.4492
plane,129,100,299.036,431.008,340.93,29.096,49.2131,39.2083,131.972,20.1171
plane,130,100,306.822,438.683,350.353,30.1614,50.4662,40.8257,131.861,20.3048
plane,131,100,319.555,445.357,360.058,33.3534,51.6663,42.5015,125.802,18.3129
plane,132,100,219.521,342.99,260.578,34.2564,53.7363,43.959,123.47,19.4799
plane,133,100,228.818,354.955,270.146,25.7706,43.8751,35.028,126.137,18.1045
plane,134,100,241.126,364.227,280.655,26.7311,45.8451,36.4595,123.101,19.114
plane,135,100,250.288,374.588,289.562,28.1551,47.3897,38.0205,124.3,19.2346
plane,136,100,258.319,387.535,299.694,29.6738,48.5113,39.4887,129.216,18.8375
plane,137,100,266.833,396.413,309.867,31.1324,49.9123,40.8341,129.58,18.78
plane,138,100,279.239,410.04,320.362,33.2376,51.5802,42.5018,130.801,18.3426
plane,139,100,287.511,413.455,330.234,34.2002,53.4988,43.9378,125.944,19.2986
plane,140,100,299.97,427.347,340.212,25.1811,44.6419,34.9649,127.377,19.4608
plane,141,100,308.914,438.646,350.181,26.4599,46.1305,36.407,129.732,19.6707
plane,142,100,322.018,448.17,360.16,28.3001,47.1879,38.0668,126.153,18.8878
plane,143,100,220.02,347.794,260.239,30.5756,48.8215,39.572,127.775,18.2459
plane,144,100,229.235,356.655,269.785,32.392,50.8632,41.1218,127.42,18.4711
plane,145,100,240.081,368.087,280.551,33.6838,52.0997,42.5117,128.007,18.4159
plane,146,100,246.824,380.432,290.68,34.1304,54.1501,44.1679,133.608,20.0198
plane,147,100,250.049,390.054,300.459,24.1056,44.7684,34.9695,140.005,20.6628
plane,148,100,268.948,398.714,310.858,26.4427,46.9785,36.476,129.766,20.5358
plane,149,100,278.875,404.374,319.911,28.4703,47.7299,37.9577,125.5,19.2596
plane,150,100,288.768,413.466,330.703,30.3144,48.8106,39.5231,124.698,18.4963
plane,151,100,298.694,426.289,340.489,31.6225,50.7697,40.8441,127.595,19.1472
plane,152,100,308.509,437.934,350.13,33.8069,51.7865,42.687,129.425,17.9796
plane,153,100,321.572,446.711,360.096,34.666,53.5102,44.0992,125.139,18.8442
plane,154,100,219.615,346.937,260.103,25.7812,44.4895,34.9536,127.322,18.7083
plane,155,100,233.787,361.393,270.486,26.9858,45.283,36.3246,127.605,18.2972
plane,156,100,242.593,368.475,280.259,28.7615,48.6882,38.0373,125.882,19.9267
plane,157,100,247.449,372.846,289.106,30.0598,48.3554,39.4659,125.397,18.2956
plane,158,100,260.208,386.67,300.689,30.824,49.6927,40.952,126.462,18.8687
plane,159,100,270.759,403.637,310.069,32.8768,51.7987,42.482,132.879,18.9219
plane,160,100,280.027,410.154,320.508,33.7963,53.0078,44.0041,130.127,19.2114
plane,161,100,287.141,422.299,330.191,25.6993,45.2892,34.9831,135.158,19.5899
plane,162,100,298.944,428.127,339.485,27.0991,45.7616,36.4244,129.183,18.6625
plane,163,100,311.62,434.343,349.987,28.1027,47.1637,38.0817,122.722,19.0609
plane,164,100,320.952,453.092,359.907,29.9863,49.8009,39.7541,132.14,19.8146
plane,165,100,218.149,349.467,259.928,31.6242,50.2932,40.8757,131.318,18.669
plane,166,100,230.352,359.169,269.838,33.5947,51.781,42.5152,128.817,18.1862
plane,167,100,236.301,372.311,281.18,34.056,54.2258,44.0008,136.01,20.1698
plane,168,100,250.032,380.587,289.862,25.5552,44.4284,34.9682,130.554,18.8732
plane,169,100,255.004,385.686,300.451,26.6776,45.2319,36.2949,130.681,18.5542
plane,170,100,271.535,399.563,310.691,28.6734,47.0948,38.0975,128.029,18.4215
plane,171,100,279.646,408.446,320.371,30.6935,48.7986,39.428,128.8,18.1051
plane,172,100,292.802,417.334,330.984,31.3696,50.29,40.8895,124.532,18.9204
plane,173,100,298.989,423.706,339.847,33.2719,51.9677,42.49,124.717,18.6958
plane,174,100,308.166,439.053,350,34.4279,53.8772,43.9166,130.887,19.4493
plane,175,100,321.208,450.589,359.84,24.812,44.9438,35.0017,129.38,20.1317
plane,176,100,221.806,346.893,260.128,27.0736,45.4833,36.5784,125.087,18.4097
plane,177,100,230.701,358.688,270.054,28.0204,47.3151,38.1534,127.986,19.2947
plane,178,100,236.911,375.291,279.874,30.7834,48.3407,39.2273,138.38,17.5573
plane,179,100,248.984,375.523,289.748,32.4457,50.5078,40.9329,126.538,18.0621
plane,180,100,257.377,391.923,299.872,32.5431,51.6228,42.4541,134.547,19.0797
plane,181,100,269.942,394.881,309.992,33.8206,52.7577,43.9303,124.939,18.937
plane,182,100,279.731,410.591,319.548,25.1791,44.3434,35.0836,130.86,19.1643
plane,183,100,286.599,415.54,330.649,27.0049,45.5508,36.3608,128.941,18.5459
plane,184,100,300.368,426.373,340.396,28.885,47.284,37.8754,126.005,18.399
plane,185,100,309.342,439.091,350.164,30.2825,48.2939,39.5891,129.75,18.0114
plane,186,100,322.145,445.403,360.867,31.0291,49.9241,40.9521,123.258,18.8949
plane,187,100,217.907,352.313,260.562,32.7908,52.0386,42.5049,134.406,19.2478
plane,188,100,228.138,358.037,270.883,35.043,53.0211,44.1887,129.898,17.978
plane,189,100,240.773,370.363,280.001,25.6497,44.2267,35.0122,129.59,18.577
plane,190,100,250.653,380.057,289.954,26.0866,46.7617,36.4803,129.403,20.6751
plane,191,100,255.425,388.393,299.724,28.4545,48.2227,38.2621,132.967,19.7682
plane,192,100,269.746,394.232,309.783,29.447,48.2716,39.5138,124.486,18.8246
plane,193,100,281.572,402.208,320.205,31.5232,51.592,41.1752,120.636,20.0688
plane,194,100,291.195,413.881,330.187,32.5249,51.7815,42.5339,122.686,19.2566
plane,195,100,299.45,423.296,339.926,34.2583,53.4603,44.0246,123.847,19.202
plane,196,100,309.922,435.702,350.511,24.9855,45.4388,35.0162,125.78,20.4533
plane,197,100,323.134,452.649,360.891,27.5312,46.4699,36.3648,129.516,18.9388
plane,198,100,222.61,349.161,261.334,29.4417,48.2853,38.0178,126.551,18.8436
plane,199,100,227.497,355.787,268.885,29.7202,48.6983,39.4845,128.29,18.9781
plane,200,100,238.242,364.958,280.43,32.082,50.4274,40.9272,126.717,18.3454
plane,201,100,253.491,371.482,290.632,33.0396,51.851,42.5585,117.99,18.8114
plane,202,100,259.657,390.454,299.846,34.9279,52.8878,44.1065,130.797,17.9599
plane,203,100,270.056,395.722,310.099,26.6619,44.5537,35.2049,125.666,17.8917
plane,204,100,282.38,411.635,320.121,27.3978,46.2697,36.5572,129.255,18.872
plane,205,100,289.284,421.583,330.76,28.9715,46.7752,38.0345,132.299,17.8037
plane,206,100,301.234,430.168,340.671,29.8489,49.1234,39.597,128.934,19.2745
plane,207,100,309.692,437.155,349.639,31.4311,50.158,40.9403,127.463,18.727
plane,208,100,322.473,448.612,360.09,31.5959,51.8881,42.49,126.139,20.2923
plane,209,100,219.915,350.97,260.679,34.1297,53.32,44.01,131.056,19.1903
plane,210,100,231.244,352.295,270.186,25.0363,45.278,34.9965,121.051,20.2417
plane,211,100,240.528,372.124,280.199,27.7626,45.7061,36.4747,131.596,17.9436
plane,212,100,249.57,386.292,289.868,28.3108,47.7872,37.8416,136.722,19.4764
plane,213,100,261.192,384.903,300.468,29.3154,49.6733,39.4983,123.711,20.358
plane,214,100,267.005,395.951,309.969,31.295,50.8148,40.9212,128.947,19.5199
plane,215,100,280.286,407.88,320.533,33.771,51.2717,42.4675,127.594,17.5007
plane,216,100,290.213,416.019,330.221,34.5839,52.9625,44.0556,125.806,18.3786
plane,217,100,297.955,424.833,339.322,25.3461,44.3073,35.0458,126.878,18.9612
plane,218,100,309.009,435.365,350.312,27.1037,45.4912,36.2356,126.356,18.3874
plane,219,100,321.407,447.84,360.868,28.3518,48.229,38.0373,126.434,19.8772
plane,220,100,220.36,346.17,259.89,29.8597,48.8829,39.3606,125.81,19.0232
plane,221,100,226.527,358.451,270.796,32.1087,50.7481,41.0684,131.924,18.6395
plane,222,100,245.041,367.59,280.185,32.15,52.2205,42.6042,122.55,20.0704
plane,223,100,249.235,379.499,289.857,34.1325,53.2058,43.9118,130.264,19.0733
plane,224,100,259.371,388.721,300.33,26.1007,43.5689,35.0819,129.35,17.4682
plane,225,100,269.528,397.602,310.826,27.2453,45.3696,36.458,128.074,18.1242
plane,226,100,283.189,407.442,320.941,29.3414,47.8137,38.0579,124.253,18.4723
plane,227,100,292.576,416.357,330.219,30.3706,48.6823,39.3825,123.781,18.3117
plane,228,100,301.798,428.494,339.979,31.3212,49.7533,41.0042,126.696,18.4321
plane,229,100,310.75,437.155,350.076,33.4592,51.8037,42.6761,126.405,18.3445
plane,230,100,318.571,445.956,360.236,34.6846,53.1782,43.9594,127.386,18.4937
plane,231,100,221.936,347.915,260.351,24.3667,45.65,34.9921,125.979,21.2833
plane,232,100,229.58,363.572,269.756,27.4028,45.7891,36.5046,133.992,18.3863
plane,233,100,240.809,367.061,280.543,28.5935,47.384,37.8392,126.252,18.7905
plane,234,100,250.582,379.247,291.005,30.0616,48.9384,39.5433,128.665,18.8768
plane,235,100,258.656,382.873,300.3,30.9109,50.4876,41.0069,124.218,19.5767
plane,236,100,272.149,400.659,310.879,34.1608,52.1359,42.448,128.51,17.9751
plane,237,100,280.123,410.363,320.543,33.2358,53.2183,43.9877,130.24,19.9825
plane,238,100,292.579,417.657,330.614,25.7598,44.6234,34.9555,125.078,18.8636
plane,239,100,298.614,429.919,340.088,27.4281,45.3683,36.4845,131.306,17.9402
plane,240,100,313.493,440.208,350.309,28.1843,47.0787,38.0094,126.715,18.8944
plane,241,100,318.197,451.941,360.672,29.2351,48.7183,39.5304,133.745,19.4832
plane,242,100,220.365,354.52,260.497,31.7757,50.5213,40.8091,134.154,18.7456
plane,243,100,229.076,361.202,270.836,33.451,51.914,42.4378,132.125,18.463
plane,244,100,238.589,370.344,280.897,34.5154,53.483,44.0543,131.755,18.9677
plane,245,100,251.528,376.967,290.513,25.413,44.6025,35.003,125.439,19.1895
plane,246,100,259.111,388.746,300.083,26.8126,46.5775,36.5754,129.636,19.7649
plane,247,100,270.062,397.501,309.919,29.0965,49.4149,38.2157,127.439,20.3184
plane,248,100,279.649,411.984,320.026,29.9754,49.0592,39.5751,132.335,19.0838
plane,249,100,289.87,419.113,329.781,32.3304,50.1981,41.1655,129.243,17.8677
plane,250,100,303.768,429.814,340.559,33.0273,51.5881,42.5768,126.046,18.5608
plane,251,100,311.504,438.974,351.094,34.2052,53.8212,44.0094,127.469,19.616
plane,252,100,318.675,450.848,360.292,26.2665,44.1581,35.0529,132.173,17.8916
plane,253,100,215.94,347.637,260.854,26.137,46.6977,36.5695,131.697,20.5608
plane,254,100,229.087,357.319,269.615,27.8979,46.7964,38.0636,128.232,18.8985
plane,255,100,241.85,365.214,280.516,29.6831,50.1772,39.5423,123.364,20.4941
plane,256,100,247.364,382.965,289.84,31.4378,50.3823,40.9909,135.6,18.9445
plane,257,100,260.873,389.525,300.068,33.2349,53.1617,42.5588,128.653,19.9268
plane,258,100,271.586,398.552,310.603,34.1185,53.86,44.0328,126.966,19.7414
plane,259,100,277.214,408.405,320.601,25.331,44.7088,35.1204,131.191,19.3778
plane,260,100,290.716,421.101,330.744,26.4263,46.8573,36.4288,130.385,20.431
plane,261,100,300.995,428.035,339.407,29.1362,47.442,38.0825,127.04,18.3058
plane,262,100,307.271,434.402,349.968,30.0394,49.2502,39.6084,127.131,19.2108
plane,263,100,318.846,447.844,360.034,31.2436,50.9249,41.1554,128.998,19.6813
plane,264,100,221.078,347.915,260.251,32.6905,52.4156,42.6723,126.837,19.7251
plane,265,100,232.733,357.853,270.488,35.0706,53.6629,43.9985,125.12,18.5923
plane,266,100,241.073,366.712,280.49,25.4992,44.2284,34.9888,125.639,18.7292
plane,267,100,250.426,378.636,290.703,27.1802,45.8453,36.5193,128.21,18.6651
plane,268,100,259.546,385.134,299.352,28.2859,48.0227,38.0472,125.588,19.7368
plane,269,100,268.852,402.499,310.484,30.4189,49.8937,39.5276,133.647,19.4749
plane,270,100,275.437,409.672,319.793,31.59,50.5278,40.8419,134.234,18.9378
plane,271,100,287.632,412.808,329.74,33.5876,52.0667,42.3843,125.176,18.4791
plane,272,100,298.182,427.301,340.274,34.0889,53.4673,44.051,129.119,19.3784
plane,273,100,310.901,444.176,349.9,25.6943,43.9878,34.9953,133.274,18.2935
plane,274,100,320.323,445.081,360.365,26.7737,45.3497,36.4918,124.758,18.576
plane,275,100,220.037,351.019,260.128,28.4741,48.4691,37.7632,130.982,19.9949
plane,276,100,232.579,361.253,270.972,28.8713,48.9118,39.3958,128.674,20.0405
plane,277,100,236.262,369.342,279.901,31.7408,50.5556,41.0767,133.079,18.8148
plane,278,100,251.831,378.372,290.564,32.6084,52.125,42.3931,126.541,19.5166
plane,279,100,260.338,391.213,300.386,34.413,52.4053,43.8731,130.875,17.9923
plane,280,100,268.589,395.893,310.356,24.3612,45.7489,34.8615,127.304,21.3877
plane,281,100,282.081,407.17,320.596,26.9538,46.665,36.4529,125.089,19.7111
plane,282,100,288.859,419.749,329.978,28.0228,47.8569,38.1039,130.89,19.8341
plane,283,100,298.317,428.413,339.361,29.1674,49.5263,39.5204,130.096,20.3589
plane,284,100,310.013,439.463,350.484,31.1123,50.3938,41.0153,129.45,19.2815
plane,285,100,319.896,445.793,360.126,33.1958,52.2283,42.389,125.897,19.0325
plane,286,100,222.318,347.779,260.546,34.2394,53.6838,44.0068,125.461,19.4444
plane,287,100,228.833,363.38,270.215,25.5592,44.9073,34.853,134.547,19.3481
plane,288,100,239.474,369.748,280.9,25.0877,46.8235,36.3748,130.274,21.7358
plane,289,100,243.177,374.979,290.164,28.9435,48.1566,37.999,131.802,19.2131
plane,290,100,258.64,389.133,300.024,29.192,49.0144,39.61,130.492,19.8224
plane,291,100,270.062,404.315,309.173,31.6293,49.6704,41.0042,134.253,18.0411
plane,292,100,283.772,410.019,320.651,32.5498,51.6369,42.5836,126.246,19.0871
plane,293,100,289.21,417.573,329.896,33.802,55.5298,44.0357,128.363,21.7278
plane,294,100,299.52,429.009,340.114,25.8297,44.2318,35.0366,129.488,18.4022
plane,295,100,308.159,435.923,350.099,27.2972,45.6894,36.5448,127.764,18.3923
plane,296,100,320.413,445.979,360.582,28.8238,47.2067,37.8445,125.566,18.3829
plane,297,100,221.009,348.498,260.003,29.9607,49.0012,39.6292,127.489,19.0404
plane,298,100,228.556,353.19,270.338,32.1014,50.6335,41.1361,124.634,18.5322
plane,299,100,241.006,369.252,280.535,32.8239,52.5428,42.5166,128.246,19.7189
plane,300,100,252.007,376.46,290.074,34.824,53.0648,44.1479,124.453,18.2408
plane,301,100,260.409,389.618,300.238,25.5683,44.7354,34.9433,129.208,19.1671
plane,302,100,271.614,398.25,310.285,26.3958,45.2182,36.3854,126.636,18.8224
plane,303,100,280.357,404.268,320.34,29.4882,46.9219,38.0721,123.91,17.4337
plane,304,100,287.725,418.328,330.07,30.0755,49.5341,39.4957,130.602,19.4586
plane,305,100,296.055,426.5,340.49,31.3864,50.5133,41.1373,130.444,19.1268
plane,306,100,308.757,439.845,350.408,31.5834,52.1543,42.4309,131.087,20.5709
plane,307,100,318.653,443.866,360.021,33.6555,54.0551,44.0797,125.213,20.3996
plane,308,100,218.921,351.077,260.4,26.0933,44.558,35.0194,132.156,18.4647
plane,309,100,231.325,363.155,270.633,27.9802,46.5357,36.7053,131.831,18.5555
plane,310,100,240.663,366.398,280.557,28.285,47.9916,38.2197,125.734,19.7066
plane,311,100,249.526,374.348,289.58,30.065,48.9887,39.5442,124.822,18.9237
plane,312,100,258.32,390.894,300.96,32.0897,49.3188,40.9968,132.574,17.2291
plane,313,100,268.964,397.903,309.839,33.049,51.6844,42.5867,128.939,18.6354
plane,314,100,281.869,408.099,320.193,34.2761,53.4451,43.8615,126.23,19.169
plane,315,100,291.158,418.664,330.564,25.4447,44.6544,35.0503,127.506,19.2097
plane,316,100,299.014,426.96,340.067,27.1277,47.3418,36.5467,127.946,20.2141
plane,317,100,307.872,438.958,350.32,29.0334,47.6603,38.019,131.086,18.6269
plane,318,100,319.272,453.979,360.514,30.017,48.7768,39.4992,134.707,18.7598
plane,319,100,217.73,351.752,260.297,31.5844,50.1484,41.0821,134.021,18.564
plane,320,100,231.797,358.439,270.642,33.0781,52.4953,42.501,126.642,19.4172
plane,321,100,242.627,363.702,280.426,35.5129,54.419,43.9703,121.075,18.9061
plane,322,100,247.008,375.603,290.647,25.6485,44.0779,34.9897,128.594,18.4294
plane,323,100,259.597,386.183,299.948,26.7215,46.1408,36.3748,126.586,19.4193
plane,324,100,269.792,396.86,309.851,28.131,46.872,37.9153,127.068,18.741
plane,325,100,281.664,409.742,320.821,29.1643,48.5676,39.4736,128.078,19.4033
